Tweet,id,time,Date,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a #eget,3.51E+15,2020-06-30 10:53 +0000,6/30/2020,477,19,0.039832285,0,0,1,0,0,1,4,0,0,0,0,0,0,13,13
vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue #id,5.00E+15,2020-06-30 10:53 +0000,6/30/2020,295,5,0.016949153,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0
nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam #lacus,8.68E+15,2020-06-30 10:51 +0000,6/30/2020,77,2,0.025974026,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis #cubilia,1.43E+14,2020-06-30 10:27 +0000,6/30/2020,185,7,0.037837838,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis #et,8.25E+15,2020-06-30 10:24 +0000,6/30/2020,854,16,0.018735363,0,2,3,2,0,5,4,0,0,0,0,0,0,0,0
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas #condimentum,5.01E+15,2020-06-30 10:09 +0000,6/30/2020,289,4,0.01384083,0,1,2,0,1,0,0,0,0,0,0,0,0,56,0
faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet #id,1.59E+15,2020-06-30 09:56 +0000,6/30/2020,1449,65,0.044858523,0,1,19,4,3,1,3,0,0,0,0,0,0,34,34
pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3.42E+15,2020-06-30 09:48 +0000,6/30/2020,37,2,0.054054054,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9.65E+15,2020-06-30 09:42 +0000,6/30/2020,63,1,0.015873016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,3.10E+14,2020-06-30 09:41 +0000,6/30/2020,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,2.97E+14,2020-06-30 09:39 +0000,6/30/2020,104,2,0.019230769,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6.66E+15,2020-06-30 09:32 +0000,6/30/2020,170,4,0.023529412,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1.69E+15,2020-06-30 09:32 +0000,6/30/2020,925,21,0.022702703,0,1,7,2,0,6,5,0,0,0,0,0,0,0,0
ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7.12E+15,2020-06-30 09:05 +0000,6/30/2020,253,28,0.110671937,0,1,3,0,0,3,2,0,0,0,0,0,0,19,19
morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8.15E+15,2020-06-30 09:02 +0000,6/30/2020,52,3,0.057692308,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0
nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4.00E+15,2020-06-30 09:00 +0000,6/30/2020,65,5,0.076923077,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,3.32E+14,2020-06-30 08:55 +0000,6/30/2020,215,5,0.023255814,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5.53E+15,2020-06-30 08:46 +0000,6/30/2020,172,10,0.058139535,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1.81E+15,2020-06-30 08:42 +0000,6/30/2020,792,37,0.046717172,1,0,16,2,0,7,8,0,0,0,0,0,0,196,3
augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2.11E+15,2020-06-30 08:36 +0000,6/30/2020,117,3,0.025641026,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0
arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3.31E+15,2020-06-30 08:24 +0000,6/30/2020,604,21,0.034768212,0,0,5,0,0,2,0,0,0,0,0,0,0,14,14
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,7.64E+14,2020-06-30 08:13 +0000,6/30/2020,593,18,0.030354132,0,0,10,4,0,4,0,0,0,0,0,0,0,113,0
augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2.77E+15,2020-06-30 01:36 +0000,6/30/2020,657,3,0.00456621,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1.95E+15,2020-06-30 01:34 +0000,6/30/2020,436,12,0.027522936,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0
duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3.06E+15,2020-06-29 23:36 +0000,6/29/2020,2685,19,0.00707635,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9.84E+15,2020-06-29 21:23 +0000,6/29/2020,98,1,0.010204082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,6.82E+14,2020-06-29 18:55 +0000,6/29/2020,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1.53E+15,2020-06-29 18:12 +0000,6/29/2020,345,14,0.04057971,0,1,0,2,9,0,2,0,0,0,0,0,0,0,0
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5.88E+15,2020-06-29 18:09 +0000,6/29/2020,782,130,0.166240409,0,2,1,1,2,0,10,0,0,0,0,0,0,114,114
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5.29E+15,2020-06-29 17:54 +0000,6/29/2020,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3.31E+15,2020-06-29 17:54 +0000,6/29/2020,250,1,0.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6.32E+15,2020-06-29 17:52 +0000,6/29/2020,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2.00E+15,2020-06-29 17:52 +0000,6/29/2020,280,5,0.017857143,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9.20E+15,2020-06-29 15:00 +0000,6/29/2020,2739,50,0.018254838,3,1,10,3,0,0,11,0,0,0,0,0,0,820,22
potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2.95E+15,2020-06-29 14:43 +0000,6/29/2020,121,4,0.033057851,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0
odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9.55E+15,2020-06-29 13:46 +0000,6/29/2020,234,2,0.008547009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,4.96E+14,2020-06-29 12:40 +0000,6/29/2020,1195,41,0.034309623,4,0,8,2,9,1,8,0,0,0,0,0,0,9,9
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1.79E+15,2020-06-29 11:35 +0000,6/29/2020,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6.07E+15,2020-06-29 01:56 +0000,6/29/2020,319,10,0.031347962,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,7.17E+14,2020-06-29 00:46 +0000,6/29/2020,320,7,0.021875,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8.54E+15,2020-06-28 22:42 +0000,6/28/2020,134,8,0.059701493,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7.32E+15,2020-06-28 20:55 +0000,6/28/2020,153,2,0.013071895,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2.81E+15,2020-06-28 17:47 +0000,6/28/2020,1925,239,0.124155844,3,1,10,1,1,0,23,0,0,0,0,0,0,200,200
quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6.71E+15,2020-06-28 15:44 +0000,6/28/2020,257,1,0.003891051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9.98E+15,2020-06-28 15:30 +0000,6/28/2020,325,6,0.018461538,0,0,4,0,0,0,0,0,0,0,0,0,0,73,2
felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6.22E+15,2020-06-28 15:19 +0000,6/28/2020,765,11,0.014379085,0,1,5,1,0,0,4,0,0,0,0,0,0,110,0
curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8.23E+15,2020-06-27 19:01 +0000,6/27/2020,236,14,0.059322034,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9.57E+15,2020-06-27 17:55 +0000,6/27/2020,151,2,0.013245033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,3.80E+14,2020-06-27 15:32 +0000,6/27/2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4.43E+15,2020-06-27 15:05 +0000,6/27/2020,287,12,0.041811847,0,0,5,0,0,0,6,0,0,0,0,0,0,38,1
dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8.21E+15,2020-06-27 14:16 +0000,6/27/2020,22,2,0.090909091,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3.13E+15,2020-06-27 01:31 +0000,6/27/2020,2408,40,0.016611296,0,2,15,2,0,0,21,0,0,0,0,0,0,0,0
vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2.14E+15,2020-06-26 21:43 +0000,6/26/2020,551,1,0.001814882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9.21E+15,2020-06-26 21:42 +0000,6/26/2020,225,8,0.035555556,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0
metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8.46E+15,2020-06-26 21:35 +0000,6/26/2020,171,5,0.029239766,0,1,1,0,0,0,1,0,0,0,0,0,0,47,2
maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2.53E+15,2020-06-26 21:26 +0000,6/26/2020,110,7,0.063636364,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6.89E+15,2020-06-26 20:59 +0000,6/26/2020,866,194,0.224018476,0,0,18,2,1,0,13,0,0,0,0,0,0,160,160
nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3.65E+15,2020-06-26 20:03 +0000,6/26/2020,11496,1065,0.092640919,1,6,37,37,4,4,78,0,0,0,0,0,0,898,898
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5.73E+15,2020-06-26 19:32 +0000,6/26/2020,1073,91,0.084808947,0,0,12,3,15,3,1,0,0,0,0,0,0,57,57
felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8.77E+15,2020-06-26 18:46 +0000,6/26/2020,276,4,0.014492754,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,3.43E+14,2020-06-26 18:08 +0000,6/26/2020,56,3,0.053571429,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2.37E+15,2020-06-26 17:51 +0000,6/26/2020,131,4,0.030534351,0,0,1,0,0,0,0,0,0,0,0,0,0,27,3
donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9.17E+15,2020-06-26 17:35 +0000,6/26/2020,161,4,0.02484472,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3.96E+15,2020-06-26 14:38 +0000,6/26/2020,316,8,0.025316456,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0
etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9.09E+15,2020-06-25 17:43 +0000,6/25/2020,449,9,0.020044543,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0
bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris #sed,4.15E+15,2020-06-25 16:55 +0000,6/25/2020,1244,38,0.030546624,1,3,4,4,0,2,21,0,0,0,0,0,0,236,3
lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac #tempor,2.34E+15,2020-06-25 13:27 +0000,6/25/2020,329,7,0.021276596,0,0,2,0,0,0,3,0,0,0,0,0,0,47,2
turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est #sit,2.06E+15,2020-06-25 13:25 +0000,6/25/2020,381,18,0.047244094,0,0,1,1,14,0,2,0,0,0,0,0,0,0,0
proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere #neque,9.77E+15,2020-06-25 13:20 +0000,6/25/2020,308,2,0.006493506,0,0,1,1,0,0,0,0,0,0,0,0,0,77,0
congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque #nec,6.10E+15,2020-06-24 20:49 +0000,6/24/2020,117,3,0.025641026,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1.30E+15,2020-06-24 19:51 +0000,6/24/2020,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu #pellentesque,1.16E+15,2020-06-24 18:45 +0000,6/24/2020,307,12,0.039087948,0,2,2,1,1,0,6,0,0,0,0,0,0,102,0
tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis #mauris,7.72E+15,2020-06-24 18:39 +0000,6/24/2020,477,6,0.012578616,0,0,2,1,0,0,1,0,0,0,0,0,0,194,2
tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu #malesuada,7.84E+14,2020-06-24 18:23 +0000,6/24/2020,585,13,0.022222222,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0
ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #tellus,3.00E+15,2020-06-24 18:23 +0000,6/24/2020,1592,217,0.136306533,1,3,3,2,0,0,80,0,0,0,0,0,0,128,128
scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5.61E+15,2020-06-24 17:14 +0000,6/24/2020,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #suscipit,5.03E+15,2020-06-24 15:02 +0000,6/24/2020,870,3,0.003448276,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus #elit,8.96E+15,2020-06-24 13:23 +0000,6/24/2020,171,6,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6
sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum #maecenas,6.86E+15,2020-06-24 12:00 +0000,6/24/2020,537,9,0.016759777,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in #tortor,8.34E+13,2020-06-23 17:23 +0000,6/23/2020,206,2,0.009708738,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor #ipsum,4.64E+14,2020-06-23 16:05 +0000,6/23/2020,551,3,0.005444646,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus #ut,7.87E+15,2020-06-23 15:15 +0000,6/23/2020,1140,14,0.012280702,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0
lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl #elit,5.07E+15,2020-06-23 15:14 +0000,6/23/2020,197,4,0.020304569,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium #odio,4.96E+15,2020-06-23 14:50 +0000,6/23/2020,833,33,0.039615846,1,1,0,4,0,0,11,0,0,0,0,0,0,0,0
velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed #luctus,3.86E+15,2020-06-23 12:18 +0000,6/23/2020,1082,15,0.013863216,0,4,3,2,0,0,6,0,0,0,0,0,0,160,0
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient #risus,6.56E+15,2020-06-22 20:52 +0000,6/22/2020,1179,9,0.007633588,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0
amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus #nisi,7.55E+15,2020-06-22 18:40 +0000,6/22/2020,883,12,0.013590034,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0
phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula #venenatis,3.97E+15,2020-06-22 18:03 +0000,6/22/2020,91,1,0.010989011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
