Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644401046784192514,"The combination of colourful glass and lights is truly mesmerizing! Whether it's a stunning chandelier or a vibrant stained glass window, the way light interacts with glass can create breathtaking works of art. #ColorfulGlass #Lights #Artistry https://t.co/t0IlzdtI6h",2023-04-07 18:05 +0000,15,8,0.533333333,2,1,3,0,0,0,0,0,0,0,0,0,0,2,2
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644400590905307136,Just visited the Doha Museum and was blown away by the stunning Structure! This architectural masterpiece is a must-see for anyone interested in art and design. #DohaMuseum #HandStructure #ArtAndDesign https://t.co/AxFjUXMYF6,2023-04-07 18:03 +0000,24,7,0.291666667,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644399654321389568,"Discovering the hidden wonders of the snowy mountains ❄️🏔️ Step through the mysterious cave door and explore the beauty that lies within. #snowymountains #cavedoor #adventureawaits"" 🌟🔍📷 https://t.co/8voXKy4cRv",2023-04-07 18:00 +0000,13,8,0.615384615,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1.6444E+18,https://twitter.com/maryam_ansari02/status/1644399171972263937,"Feeling on top of the world in Manali! 🏔️🌞 These stunning mountain views are the perfect backdrop for any adventure. #Manali #mountains #naturephotography"" 📷🌲 https://t.co/GviTbcezyT",2023-04-07 17:58 +0000,18,9,0.5,3,1,4,0,0,0,0,0,0,0,0,0,0,1,1
1.64376E+18,https://twitter.com/maryam_ansari02/status/1643757708280213506,"Me: tries to study alone for exam 
My cat: sits on Books
Me: ""Come on, I need to clear this exam!"" 
My cat: ""We'll clear it together, hooman. You do the writing, I'll do the napping."" #StudyBuddies #CatLogic #ExamsCanBeRuff https://t.co/JgwYKyLb7t https://t.co/Ta908DG5ve",2023-04-05 23:29 +0000,76,13,0.171052632,4,0,6,0,0,0,0,0,0,0,0,0,0,3,3
1.64376E+18,https://twitter.com/maryam_ansari02/status/1643757073233231872,"Just when I thought my cat couldn't get any smarter, she sabotaged my exam by sitting on my book and purring every time I tried to study. Looks like I'm not the only one who wants to avoid being alone with my academic struggles. #CatsVsExams #TeamworkMakesTheDreamWorkMeow https://t.co/T9mvxT6ZDG",2023-04-05 23:26 +0000,118,14,0.118644068,4,0,5,1,0,0,0,0,0,0,0,0,0,4,4
1.64368E+18,https://twitter.com/maryam_ansari02/status/1643680782362513410,"Need a caffeine boost? Try this heavenly coffee dark chocolate cake with ganache! Mix flour, cocoa, sugar, coffee, and eggs, bake until rich and moist, then top with velvety ganache made from cream and dark chocolate. Perfect for dessert or anytime you need a pick-me-up! 🍫🎂☕ https://t.co/MQ1BsP5c2i",2023-04-05 18:23 +0000,59,11,0.186440678,4,0,5,1,0,0,0,0,0,0,0,0,0,1,1
1.64367E+18,https://twitter.com/maryam_ansari02/status/1643673544138850304,"Did you know that the White Albino Blue-Eyed Persian cat is a rare and unique breed with stunning features? With a pure white coat and striking blue eyes, they are sure to turn heads wherever they go! 😻👀 #PersianCat #AlbinoCat #RareBreeds https://t.co/WaiZGI4ICZ",2023-04-05 17:54 +0000,65,13,0.2,4,0,6,1,0,0,0,0,0,0,0,0,0,2,2
1.64367E+18,https://twitter.com/maryam_ansari02/status/1643673251426754561,This baby cat is such a mumma's boy that he even demands to be carried around like a royal prince! 👑😹 #spoiledcat #mummasboy #royaltytreatment https://t.co/pDKyatFPbw,2023-04-05 17:53 +0000,51,11,0.215686275,4,0,5,1,0,0,0,0,0,0,0,0,0,1,1
1.64367E+18,https://twitter.com/maryam_ansari02/status/1643670788145557505,Indulge in the ultimate sweet treat with these homemade chocolate glazed donuts! Made with love and perfect for any occasion 🍩🍫 #donutlover #homemade #chocolateglaze https://t.co/5tTw378Ze4,2023-04-05 17:43 +0000,91,10,0.10989011,4,0,5,0,0,0,0,0,0,0,0,0,0,1,1
